# SYNTHETIC synthon catalog for project 1.18 (NOT real chemistry).
# Format: N_SLOTS, then per slot 'SLOT k size' + size rows of
#   <name> <MW> <cLogP> <TPSA> <HBD> <HBA>
3
SLOT 0 6
A00 60.000 0.200 26.000 1 1
A01 72.000 0.350 29.000 1 1
A02 84.000 0.500 32.000 1 1
A03 96.000 0.650 35.000 1 1
A04 108.000 0.800 38.000 1 1
A05 120.000 0.950 41.000 1 1
SLOT 1 6
B00 90.000 0.600 17.000 0 1
B01 108.000 0.900 21.000 0 2
B02 126.000 1.200 25.000 0 3
B03 144.000 1.500 29.000 0 4
B04 162.000 1.800 33.000 0 5
B05 180.000 2.100 37.000 0 6
SLOT 2 6
C00 110.000 1.400 9.000 0 0
C01 136.000 1.950 11.000 0 0
C02 162.000 2.500 13.000 0 0
C03 188.000 3.050 15.000 0 0
C04 214.000 3.600 17.000 0 0
C05 240.000 4.150 19.000 0 0
