120 4
0.0000 0.0000 0.0000 1 0 0
3.2000 0.0000 0.0000 0 1 0
6.4000 0.0000 0.0000 1 0 1
9.6000 0.0000 0.0000 0 0 0
0.0000 3.2000 0.0000 1 1 0
3.2000 3.2000 0.0000 0 0 1
6.4000 3.2000 0.0000 1 0 0
9.6000 3.2000 0.0000 0 1 0
0.0000 6.4000 0.0000 1 0 1
3.2000 6.4000 0.0000 0 0 0
6.4000 6.4000 0.0000 1 1 0
9.6000 6.4000 0.0000 0 0 1
0.0000 9.6000 0.0000 1 0 0
3.2000 9.6000 0.0000 0 1 0
6.4000 9.6000 0.0000 1 0 1
9.6000 9.6000 0.0000 0 0 0
0.0000 12.8000 0.0000 1 1 0
3.2000 12.8000 0.0000 0 0 1
6.4000 12.8000 0.0000 1 0 0
9.6000 12.8000 0.0000 0 1 0
0.0000 16.0000 0.0000 1 0 1
3.2000 16.0000 0.0000 0 0 0
6.4000 16.0000 0.0000 1 1 0
9.6000 16.0000 0.0000 0 0 1
1.5104 1.7790 1.4209 1 0 0 0
1.4897 1.2745 1.4253 1 0 0 0
1.9892 1.7485 1.8629 1 0 0 0
1.6871 1.7382 1.5649 1 0 0 0
1.0169 1.8993 1.6772 1 0 0 0
1.7746 1.0080 0.8896 1 0 0 0
1.2886 1.4361 1.6069 1 0 0 0
1.5839 1.7823 1.2752 1 0 0 0
1.7080 1.7380 1.2686 1 0 0 0
2.2011 1.7948 1.9190 1 0 0 0
1.3829 1.3412 1.3796 1 0 0 0
1.5628 1.8212 1.5869 1 0 0 0
1.4434 1.2651 1.3178 1 0 0 0
2.0273 1.3172 1.5857 1 0 0 0
1.7493 1.0786 1.5170 1 0 0 0
2.0572 0.8950 1.3874 1 0 0 0
1.5629 1.3140 1.6741 1 0 0 0
1.5782 1.0874 1.7897 1 0 0 0
1.8343 1.9310 2.0042 1 0 0 0
1.7268 1.6417 1.0453 1 0 0 0
1.8154 1.3859 1.3416 1 0 0 0
1.1573 1.2613 1.3141 1 0 0 0
2.0511 0.8889 0.9898 1 0 0 0
1.6838 2.1052 1.7025 1 0 0 0
0.9350 0.7186 1.6251 1 0 0 0
1.3423 1.2081 1.8421 1 0 0 0
1.9856 1.6550 1.5860 1 0 0 0
1.7520 2.1579 1.7167 1 0 0 0
1.7815 1.7917 0.9511 1 0 0 0
2.0486 1.9343 1.6854 1 0 0 0
7.3091 1.3782 1.7948 0 1 0 1
7.3661 1.5356 1.8568 0 1 0 1
7.5411 2.1635 1.6932 0 1 0 1
7.9475 1.7137 1.7274 0 1 0 1
8.0421 2.0010 1.2685 0 1 0 1
7.8548 1.9646 1.5094 0 1 0 1
7.6918 1.9313 2.0129 0 1 0 1
7.8443 1.1170 1.4528 0 1 0 1
7.9478 1.4957 1.9917 0 1 0 1
7.6406 2.0412 1.0561 0 1 0 1
7.7245 1.8210 1.8950 0 1 0 1
8.3007 1.7208 1.5498 0 1 0 1
8.0534 1.8013 1.4383 0 1 0 1
8.0971 1.8005 1.5003 0 1 0 1
8.2674 1.7981 2.2037 0 1 0 1
8.1137 1.4503 1.3696 0 1 0 1
7.9954 1.9233 1.3822 0 1 0 1
8.1350 2.2431 0.6024 0 1 0 1
7.6066 1.6854 1.6394 0 1 0 1
8.0835 1.4491 1.7293 0 1 0 1
8.0987 1.4173 2.3505 0 1 0 1
8.1243 1.4060 1.4652 0 1 0 1
7.9210 1.5780 0.5452 0 1 0 1
7.8296 1.9530 1.0910 0 1 0 1
7.9767 1.9337 1.7997 0 1 0 1
8.5219 1.0045 1.3763 0 1 0 1
7.8807 1.8182 1.8821 0 1 0 1
7.0610 1.9810 0.9934 0 1 0 1
8.2391 1.0778 1.5615 0 1 0 1
8.4181 1.5477 1.5669 0 1 0 1
1.8790 14.0495 1.4690 1 0 1 2
2.1366 14.3670 1.3972 1 0 1 2
2.5609 13.5986 1.8201 1 0 1 2
1.5070 14.0463 1.7468 1 0 1 2
1.6778 14.2235 0.9654 1 0 1 2
1.0717 14.2152 1.1629 1 0 1 2
1.2407 13.4855 1.9432 1 0 1 2
1.8613 14.5156 1.1718 1 0 1 2
1.6004 13.6009 1.7681 1 0 1 2
2.1563 13.6884 2.0461 1 0 1 2
1.9458 13.9378 0.8098 1 0 1 2
2.0923 13.9663 1.2890 1 0 1 2
1.7399 14.1435 2.0243 1 0 1 2
1.2430 14.3977 2.0206 1 0 1 2
