# SYNTHETIC cryo-EM 3DVA sample -- NOT real data (see data/README.md).
# A Gaussian density blob slides along z; t[p] is the hidden coordinate.
24 6 216    # N G D
0.002780 0.025547 0.061273 0.062191 0.034482 0.003700 0.030340 0.122325 0.244960 0.246834 0.117240 0.032819 0.065500 0.239736 0.490628 0.488235 0.242964 0.065437 0.059903 0.248527 0.493569 0.490269 0.243228 0.060841 0.028254 0.121074 0.245752 0.240552 0.117729 0.033908 0.005691 0.025452 0.060468 0.058759 0.031111 0.012198 0.007908 0.053943 0.100445 0.100634 0.055695 0.013221 0.052818 0.206681 0.411990 0.407368 0.209402 0.053819 0.101993 0.413012 0.820895 0.824704 0.411516 0.105037 0.101850 0.407815 0.822147 0.824296 0.410966 0.106150 0.050061 0.209368 0.413178 0.407184 0.206963 0.049647 0.011335 0.054076 0.105389 0.099184 0.047335 0.011794 0.014466 0.045228 0.086457 0.083576 0.041913 0.014421 0.046127 0.171139 0.348615 0.347213 0.172704 0.046949 0.087412 0.349494 0.690317 0.694311 0.348544 0.082064 0.087274 0.346401 0.687601 0.692266 0.349182 0.082020 0.040758 0.175222 0.347596 0.344057 0.169220 0.040815 0.014533 0.041914 0.088852 0.088277 0.038899 0.013099 0.007923 0.018642 0.033275 0.040175 0.017047 0.001551 0.019836 0.075585 0.149941 0.139979 0.073958 0.013267 0.034661 0.141035 0.290371 0.294383 0.149800 0.034187 0.034538 0.149241 0.294290 0.287109 0.147189 0.037167 0.017245 0.070816 0.149716 0.147645 0.073936 0.017546 0.004294 0.017946 0.034877 0.034688 0.022480 0.003329 -0.002901 0.005038 0.009275 0.007062 0.007288 -0.002650 0.000086 0.016199 0.031126 0.031764 0.014688 0.003377 0.008329 0.028988 0.062186 0.057067 0.028480 0.004416 0.008363 0.025394 0.056830 0.064576 0.027870 0.011729 -0.000285 0.013725 0.030917 0.025448 0.012300 0.000247 0.003646 0.000997 0.002706 0.005884 0.004691 -0.000259 0.001895 0.002655 -0.003023 -0.003234 0.001485 -0.003633 -0.000685 -0.002655 0.000901 0.005889 -0.000738 0.000660 -0.001011 0.002303 0.008703 0.008806 -0.000540 0.002275 0.005694 -0.000884 0.003789 0.005223 0.006855 0.005113 -0.000448 0.002498 0.002327 0.000391 -0.001371 0.002531 0.002441 0.003950 -0.001085 -0.000011 -0.000669 0.004772   # volume 0
0.003357 0.027873 0.060014 0.057387 0.025486 0.005108 0.029386 0.109303 0.224454 0.221323 0.113750 0.028950 0.057598 0.223232 0.447305 0.442440 0.224475 0.050210 0.056923 0.216624 0.446466 0.438922 0.221620 0.055879 0.031323 0.107237 0.222080 0.223696 0.114430 0.024010 0.003665 0.028190 0.054810 0.053485 0.028513 0.006987 0.014390 0.050740 0.097980 0.098568 0.053286 0.009204 0.052237 0.196928 0.401627 0.400137 0.198714 0.045683 0.096943 0.398459 0.808370 0.801759 0.399156 0.104024 0.103123 0.405066 0.801955 0.800498 0.405174 0.101184 0.054261 0.196471 0.397977 0.397784 0.199589 0.050176 0.010313 0.051805 0.098493 0.103552 0.049278 0.011767 0.009974 0.040865 0.090342 0.089279 0.043763 0.008322 0.048066 0.185264 0.360695 0.363622 0.180093 0.047368 0.087528 0.367812 0.731283 0.724398 0.367218 0.086619 0.090467 0.364630 0.725768 0.731148 0.363399 0.093853 0.044474 0.182652 0.367045 0.365118 0.186117 0.042510 0.010449 0.040884 0.091547 0.094358 0.043223 0.016241 0.004560 0.015960 0.040118 0.042534 0.018366 0.008374 0.017672 0.082404 0.169236 0.167964 0.086584 0.020901 0.044868 0.163931 0.329840 0.329414 0.168315 0.043896 0.042539 0.165900 0.329712 0.330685 0.166263 0.044630 0.015768 0.082764 0.164778 0.160109 0.084088 0.018571 0.006865 0.019942 0.039774 0.036119 0.023236 0.001746 0.001656 0.007595 0.010812 0.004881 0.007473 -0.002096 0.007920 0.014031 0.041761 0.038509 0.016086 0.006560 0.007934 0.034430 0.077399 0.074245 0.034188 0.004419 0.014026 0.032757 0.079136 0.074115 0.041341 0.010003 0.009297 0.014763 0.034953 0.039387 0.013596 0.004153 0.005091 -0.000190 0.010247 0.008549 0.003842 0.004441 0.002158 -0.002520 0.004840 0.003286 0.001840 -0.002906 -0.002003 0.000883 0.004350 0.002252 0.000586 -0.002786 0.003233 0.008694 0.009933 0.003606 0.008410 -0.000803 0.004030 0.001710 0.011415 0.003803 0.008641 0.000701 0.000958 -0.002660 0.001540 0.006297 0.003357 -0.001696 0.005089 0.000015 0.001646 0.005064 0.000298 -0.003714   # volume 1
0.006928 0.026042 0.046596 0.046917 0.024039 0.006755 0.022617 0.098427 0.201680 0.203297 0.096879 0.026790 0.053903 0.196554 0.395884 0.393574 0.200071 0.052869 0.052135 0.203651 0.398370 0.399255 0.200878 0.050868 0.023934 0.098520 0.199329 0.200653 0.094598 0.020487 0.010853 0.021206 0.049774 0.048999 0.020108 0.007480 0.012664 0.051102 0.101961 0.100040 0.050825 0.008225 0.044350 0.191272 0.392525 0.386755 0.193781 0.047043 0.101913 0.386803 0.784042 0.776479 0.392503 0.096215 0.099057 0.384749 0.777548 0.778881 0.393996 0.096636 0.049820 0.191896 0.390605 0.385426 0.192142 0.045184 0.015730 0.049156 0.098824 0.101786 0.046631 0.015052 0.011303 0.042644 0.091012 0.097124 0.045527 0.016298 0.045436 0.194192 0.380136 0.376852 0.185850 0.049868 0.096341 0.383828 0.757082 0.758601 0.378439 0.094872 0.098604 0.383510 0.763795 0.764485 0.383138 0.097679 0.049932 0.188618 0.375533 0.382420 0.193952 0.047442 0.012438 0.050095 0.093886 0.097957 0.042646 0.013458 0.009340 0.025890 0.049725 0.050343 0.025829 0.003429 0.025685 0.095538 0.185524 0.186662 0.097479 0.018620 0.049786 0.182276 0.371923 0.376201 0.184650 0.048177 0.046769 0.182658 0.375982 0.372761 0.180804 0.044458 0.024656 0.097149 0.185526 0.190579 0.094260 0.019055 0.002934 0.023326 0.049248 0.050908 0.027964 0.009189 0.002789 0.005170 0.014883 0.008052 0.002532 0.002836 0.003310 0.023799 0.040827 0.045996 0.026301 0.002184 0.013379 0.048781 0.086888 0.094271 0.048221 0.010477 0.012137 0.043640 0.092668 0.086923 0.043141 0.012211 0.008939 0.017832 0.048021 0.049726 0.020444 0.005398 0.002584 0.007379 0.015445 0.011736 0.005453 0.000764 0.004627 -0.002177 -0.002695 0.003740 0.001670 -0.000816 0.002334 0.007254 0.005156 0.009241 0.003920 0.002287 0.001757 0.005048 0.012732 0.009414 0.001865 -0.001864 0.002751 0.006763 0.007475 0.008647 0.005513 0.003706 -0.001202 -0.001585 0.006315 0.007759 0.002946 -0.000369 0.004243 0.002676 -0.001070 0.004420 -0.003409 -0.003460   # volume 2
0.007743 0.025192 0.042063 0.048495 0.020168 0.001777 0.017966 0.092088 0.175636 0.175227 0.087494 0.022336 0.042916 0.176865 0.356315 0.350007 0.176006 0.049046 0.048094 0.180334 0.356716 0.352215 0.178812 0.046285 0.021506 0.092193 0.178424 0.179646 0.092998 0.018839 0.004013 0.021525 0.041783 0.044120 0.025474 0.009013 0.013859 0.049133 0.093891 0.089541 0.046579 0.012595 0.042780 0.189361 0.370703 0.375557 0.190686 0.047499 0.097387 0.377999 0.745638 0.746778 0.369668 0.090953 0.094365 0.376450 0.751761 0.752740 0.372314 0.098264 0.043538 0.185400 0.373274 0.370894 0.187909 0.048030 0.007894 0.047612 0.088392 0.094911 0.041580 0.011691 0.010891 0.053879 0.097017 0.098502 0.049877 0.013500 0.047894 0.192524 0.396115 0.391246 0.193787 0.047074 0.102240 0.391289 0.785925 0.787799 0.395648 0.095975 0.102335 0.394554 0.789535 0.791232 0.392309 0.100839 0.051710 0.201770 0.395936 0.391598 0.194982 0.049335 0.010546 0.048582 0.097129 0.094345 0.053010 0.016636 0.001651 0.026622 0.052700 0.046992 0.022784 0.007408 0.026887 0.101326 0.207419 0.210768 0.106992 0.023791 0.049423 0.212568 0.415270 0.410836 0.208710 0.052695 0.051004 0.207114 0.413462 0.418196 0.208977 0.055597 0.026518 0.106396 0.206898 0.210410 0.099288 0.027270 0.007813 0.028825 0.049006 0.056210 0.025438 0.011191 0.002388 0.005393 0.015784 0.015263 0.011342 0.003787 0.005416 0.032158 0.059427 0.059451 0.024993 0.009860 0.016017 0.049830 0.111435 0.108991 0.052337 0.015296 0.018424 0.058582 0.110160 0.110440 0.050814 0.015873 0.001877 0.025161 0.057166 0.054622 0.024711 0.006131 0.000258 0.004793 0.013413 0.010948 0.007221 -0.001973 -0.002105 -0.002010 -0.000592 -0.002608 -0.002397 -0.002901 0.004653 0.007599 0.005604 0.002499 0.003787 0.004768 0.001773 0.002435 0.012441 0.016660 0.011975 -0.003038 -0.001220 0.011198 0.018283 0.016869 0.008279 -0.002077 0.000633 -0.001239 0.003362 0.004890 0.000405 0.000792 0.003192 0.000344 -0.001215 0.000972 -0.003693 0.000865   # volume 3
0.002740 0.020098 0.043693 0.043240 0.016708 0.009595 0.021064 0.079981 0.153996 0.157631 0.082626 0.024230 0.036040 0.158836 0.312653 0.311889 0.156368 0.041536 0.041598 0.154864 0.314979 0.318106 0.152020 0.034647 0.019619 0.082386 0.160689 0.156850 0.076855 0.016534 0.001490 0.024026 0.042825 0.034870 0.018946 0.001036 0.011062 0.044066 0.087754 0.090858 0.042939 0.012799 0.048364 0.176725 0.356789 0.353823 0.177008 0.042988 0.089633 0.351815 0.718770 0.713896 0.359089 0.090873 0.092377 0.358818 0.718098 0.717444 0.361528 0.088050 0.041345 0.175069 0.352105 0.352336 0.178676 0.046872 0.010397 0.043481 0.090318 0.087910 0.043551 0.012961 0.010681 0.046147 0.105142 0.103873 0.045687 0.015297 0.053840 0.205668 0.401518 0.403523 0.199030 0.050537 0.098040 0.401099 0.814484 0.808932 0.403285 0.096134 0.104798 0.403736 0.816698 0.815065 0.400990 0.097449 0.045751 0.203156 0.402970 0.403852 0.201727 0.054696 0.016822 0.048574 0.097443 0.097133 0.049397 0.009929 0.008718 0.027884 0.055637 0.061099 0.024127 0.005908 0.029090 0.110708 0.232042 0.225861 0.113580 0.026694 0.055116 0.233373 0.456920 0.461921 0.232749 0.054063 0.057394 0.233031 0.456664 0.461698 0.229208 0.053207 0.033336 0.114500 0.230546 0.226046 0.114269 0.029892 0.007065 0.032626 0.054220 0.062040 0.027694 0.002977 0.001788 0.003386 0.016126 0.015529 0.005481 -0.002843 0.011295 0.035628 0.060387 0.061288 0.036324 0.010011 0.016244 0.062640 0.132451 0.125894 0.065424 0.019111 0.017441 0.065042 0.132840 0.132511 0.063424 0.015604 0.007022 0.037456 0.060688 0.060884 0.029375 0.012703 0.002781 0.007286 0.016598 0.011753 0.008677 0.001577 -0.002609 0.000882 0.003855 0.000327 -0.001611 -0.002420 -0.002195 0.002080 0.013677 0.011291 0.007630 -0.001328 0.000526 0.007044 0.021759 0.023429 0.008557 0.002808 0.005338 0.010992 0.021243 0.014165 0.010039 -0.000983 -0.003218 0.006946 0.007200 0.006410 0.003972 -0.001285 0.000576 0.003166 0.000209 0.000059 0.004969 -0.001633   # volume 4
0.001366 0.012882 0.035292 0.029478 0.018817 -0.000429 0.012721 0.066352 0.137304 0.133662 0.065139 0.019446 0.031462 0.135175 0.279915 0.270268 0.141653 0.031766 0.032733 0.140455 0.270925 0.273979 0.142114 0.031514 0.016969 0.068425 0.136261 0.135829 0.068487 0.017286 0.008823 0.014307 0.037779 0.029690 0.017410 0.008424 0.006331 0.041404 0.084996 0.081819 0.038113 0.009588 0.046315 0.167955 0.337394 0.335786 0.166179 0.042409 0.086781 0.336781 0.673444 0.677435 0.335289 0.086807 0.088766 0.338051 0.671159 0.676251 0.335461 0.081125 0.038437 0.169088 0.340223 0.335624 0.169543 0.037388 0.015401 0.046707 0.083344 0.088377 0.041694 0.013624 0.011322 0.048871 0.105074 0.103452 0.046919 0.012801 0.052278 0.203969 0.416533 0.409267 0.202064 0.053297 0.104252 0.413737 0.829150 0.831018 0.414750 0.101951 0.105045 0.415929 0.832518 0.823687 0.416046 0.106276 0.051694 0.206443 0.415999 0.412279 0.208984 0.048963 0.015294 0.055245 0.102605 0.105368 0.048304 0.007933 0.011984 0.033968 0.060481 0.068130 0.027376 0.003407 0.036443 0.129283 0.255786 0.248312 0.122540 0.034012 0.064978 0.256170 0.503230 0.502509 0.256520 0.066616 0.064571 0.255710 0.504079 0.505544 0.250476 0.062471 0.035976 0.130692 0.252321 0.256274 0.128762 0.026586 0.006170 0.032056 0.063410 0.061798 0.026887 0.008587 0.000346 0.013221 0.015875 0.015744 0.007482 0.001520 0.012129 0.041583 0.081194 0.079438 0.037375 0.013310 0.016135 0.073818 0.157569 0.150975 0.080819 0.014893 0.020355 0.078700 0.157430 0.152530 0.076526 0.017854 0.010660 0.035995 0.075308 0.077158 0.039908 0.013687 -0.000288 0.010858 0.020857 0.018752 0.007724 -0.002149 0.001149 0.002898 0.004747 0.003953 0.005352 -0.004515 0.001086 0.006819 0.013189 0.010284 0.008923 0.003507 0.000121 0.012896 0.026041 0.024262 0.013609 0.000721 0.004426 0.013429 0.024043 0.024408 0.010854 0.005212 -0.000790 0.002599 0.012018 0.013768 0.010694 -0.000558 0.004425 0.005581 0.006446 0.001848 -0.003235 -0.002079   # volume 5
0.003532 0.016353 0.030614 0.027181 0.011611 0.000286 0.019526 0.057867 0.121299 0.119322 0.056520 0.019591 0.026171 0.122776 0.244055 0.236838 0.115460 0.026883 0.027036 0.123524 0.243001 0.236669 0.115077 0.027103 0.016432 0.058805 0.115633 0.117586 0.056067 0.010953 0.007477 0.012187 0.029864 0.030283 0.011218 0.003407 0.005827 0.039706 0.082622 0.079657 0.035949 0.011693 0.036518 0.160499 0.314609 0.316277 0.154952 0.034865 0.083014 0.314767 0.633707 0.631014 0.312738 0.078304 0.078396 0.317001 0.635180 0.631739 0.319390 0.083326 0.037537 0.153137 0.313973 0.315335 0.161865 0.041105 0.012061 0.040299 0.074461 0.080786 0.040480 0.014795 0.009494 0.054542 0.107200 0.108524 0.049635 0.014023 0.047792 0.207464 0.420357 0.415016 0.205907 0.053066 0.100469 0.417288 0.840406 0.841795 0.418485 0.099392 0.104586 0.419981 0.833532 0.833752 0.414869 0.109234 0.053316 0.213761 0.414966 0.418808 0.203973 0.048288 0.015082 0.057083 0.106828 0.106250 0.052932 0.014502 0.011624 0.032383 0.067003 0.072648 0.031876 0.012848 0.034103 0.137994 0.273205 0.280821 0.137866 0.032958 0.067479 0.271820 0.553928 0.552673 0.280534 0.064814 0.068879 0.277995 0.556136 0.552934 0.275743 0.073030 0.031824 0.138710 0.272883 0.280095 0.139112 0.030230 0.013322 0.031896 0.070460 0.068426 0.035274 0.010618 0.002135 0.015015 0.024524 0.018868 0.007224 0.000642 0.012583 0.049873 0.095066 0.091313 0.049686 0.010734 0.020203 0.091414 0.179363 0.182219 0.091750 0.019197 0.025866 0.095380 0.181271 0.178201 0.090272 0.026282 0.016272 0.050333 0.086448 0.087723 0.043784 0.013536 0.002977 0.009516 0.019647 0.020159 0.010311 0.000059 0.003688 0.004463 0.004440 0.004117 0.000962 0.005250 -0.000719 0.011453 0.012052 0.016949 0.003396 0.005274 0.000471 0.010184 0.031714 0.029598 0.013946 0.007937 0.002430 0.019968 0.031983 0.034858 0.015538 0.008596 -0.001463 0.007563 0.016648 0.015891 0.008122 0.000219 -0.000666 -0.000493 0.006370 -0.000639 -0.001102 0.004797   # volume 6
0.005679 0.012971 0.029899 0.023021 0.015922 0.004441 0.017585 0.052113 0.107369 0.099305 0.052802 0.007847 0.026089 0.104498 0.205077 0.204311 0.099322 0.022469 0.020793 0.102506 0.204852 0.211446 0.103742 0.028541 0.014276 0.050774 0.104327 0.101257 0.052513 0.009067 0.006693 0.015821 0.024213 0.028074 0.008237 0.008134 0.013079 0.032978 0.074427 0.077005 0.033887 0.009166 0.036942 0.149097 0.293626 0.289984 0.143999 0.037532 0.070892 0.291180 0.590406 0.588545 0.297861 0.069781 0.075307 0.294903 0.590705 0.592872 0.292193 0.069375 0.035279 0.143413 0.292258 0.296358 0.144323 0.039371 0.008066 0.040387 0.069672 0.076393 0.038432 0.007439 0.013358 0.049557 0.103526 0.103377 0.057139 0.010646 0.048659 0.211253 0.421025 0.415994 0.206408 0.056037 0.104881 0.421111 0.840326 0.844982 0.422187 0.108379 0.107056 0.424403 0.839481 0.841407 0.422244 0.100507 0.057114 0.207172 0.419438 0.421771 0.214599 0.056938 0.016624 0.056887 0.103712 0.103474 0.051608 0.012180 0.009183 0.038137 0.078412 0.071185 0.036119 0.010854 0.036033 0.144445 0.294039 0.303570 0.147234 0.036016 0.073142 0.302661 0.599294 0.602704 0.297460 0.071275 0.078729 0.296899 0.601296 0.596971 0.298498 0.074042 0.040551 0.151711 0.301439 0.295233 0.148909 0.032747 0.005343 0.041311 0.074758 0.076186 0.038316 0.010596 0.000774 0.017639 0.026378 0.022733 0.016439 0.002136 0.013284 0.055063 0.110146 0.103387 0.053922 0.014247 0.024284 0.110439 0.217187 0.213705 0.104902 0.028615 0.024244 0.103609 0.215572 0.207932 0.110629 0.027746 0.012487 0.051642 0.101647 0.106922 0.048114 0.011853 0.007482 0.013151 0.026355 0.028021 0.013218 0.004489 -0.001971 0.006179 0.003520 0.000857 0.005536 -0.002015 0.004828 0.007319 0.018654 0.014585 0.008394 -0.001917 0.000370 0.019238 0.037819 0.035825 0.021963 0.003785 0.008852 0.019738 0.033419 0.037003 0.014578 0.007056 -0.000824 0.012667 0.022674 0.014552 0.014138 0.007207 -0.003251 -0.001852 0.003997 0.002126 -0.000930 -0.002098   # volume 7
0.004986 0.009441 0.019550 0.026055 0.012193 -0.000618 0.009372 0.046716 0.091124 0.088461 0.043603 0.006525 0.024339 0.086576 0.173272 0.177419 0.085657 0.020883 0.019458 0.087291 0.177963 0.176300 0.083407 0.022734 0.007474 0.045550 0.090684 0.085419 0.042502 0.005989 -0.001523 0.006451 0.019574 0.026305 0.011011 -0.002149 0.010369 0.038707 0.065347 0.068513 0.029026 0.012339 0.030184 0.130824 0.268487 0.276337 0.131639 0.034154 0.071795 0.270794 0.547079 0.541141 0.269151 0.072295 0.065809 0.267739 0.539384 0.547684 0.271635 0.071685 0.036716 0.135271 0.269009 0.276124 0.132114 0.032936 0.004307 0.036907 0.062873 0.068761 0.029981 0.006491 0.016127 0.050686 0.101722 0.107863 0.053235 0.010435 0.048073 0.211496 0.413370 0.419451 0.205665 0.051321 0.101912 0.415113 0.833191 0.838163 0.415128 0.103004 0.101011 0.413681 0.835336 0.838452 0.420328 0.106299 0.049004 0.205763 0.420783 0.414090 0.205845 0.050325 0.011031 0.053392 0.107323 0.101196 0.049326 0.012259 0.008338 0.043636 0.080088 0.075741 0.043198 0.008569 0.035914 0.164834 0.318358 0.321016 0.160112 0.036321 0.084373 0.320239 0.640476 0.646945 0.321645 0.080429 0.082089 0.320864 0.640268 0.645269 0.322440 0.079871 0.037998 0.162801 0.322610 0.317265 0.157562 0.036577 0.006730 0.041413 0.079456 0.078065 0.040916 0.009976 0.002374 0.017063 0.028974 0.029471 0.011350 0.001742 0.016423 0.059305 0.126816 0.126403 0.057659 0.018112 0.032548 0.124014 0.242149 0.250345 0.122114 0.031871 0.034501 0.127788 0.246786 0.248843 0.123730 0.028924 0.019152 0.061673 0.127099 0.124213 0.065404 0.018297 0.004837 0.016028 0.034743 0.034054 0.019977 0.007446 -0.004174 0.000602 0.003913 0.008765 0.002060 0.004184 0.003116 0.016259 0.026378 0.020973 0.015358 0.006406 0.006695 0.020113 0.050674 0.045962 0.024517 0.005215 0.008166 0.023659 0.043337 0.043019 0.028173 0.006837 0.002597 0.010135 0.025661 0.020364 0.014903 -0.001173 -0.001612 0.000426 0.006121 0.005455 0.006084 -0.002345   # volume 8
0.001689 0.006927 0.014920 0.014040 0.012482 0.003259 0.013710 0.039089 0.079104 0.078900 0.034304 0.005253 0.017628 0.071646 0.148580 0.154550 0.078844 0.015226 0.019193 0.079283 0.152429 0.151855 0.070566 0.019862 0.009162 0.039169 0.076795 0.070030 0.037604 0.005683 0.005699 0.013777 0.018136 0.017746 0.007059 0.004715 0.008243 0.031504 0.058934 0.058091 0.032322 0.006422 0.033133 0.120775 0.245958 0.250030 0.120682 0.034163 0.064496 0.249197 0.498972 0.494648 0.245424 0.060945 0.064713 0.249212 0.496891 0.501593 0.252766 0.059792 0.027960 0.127496 0.248774 0.247465 0.124269 0.027168 0.012665 0.034905 0.062861 0.064904 0.030443 0.005602 0.017771 0.047161 0.102287 0.100579 0.053616 0.015255 0.048506 0.202041 0.415093 0.413630 0.208571 0.056003 0.097984 0.414662 0.829218 0.821282 0.408614 0.107373 0.105848 0.415216 0.821435 0.824124 0.411765 0.105203 0.049143 0.208360 0.407462 0.412087 0.204278 0.053656 0.012571 0.053512 0.101387 0.103622 0.052420 0.015461 0.013782 0.044215 0.081438 0.087909 0.044381 0.008127 0.041196 0.166521 0.339836 0.344303 0.168999 0.043650 0.083409 0.338657 0.682934 0.688242 0.336761 0.087795 0.087084 0.337639 0.688359 0.680194 0.344280 0.086396 0.038194 0.171194 0.336423 0.339377 0.167007 0.041767 0.011819 0.043444 0.087863 0.088805 0.046769 0.011760 0.006610 0.020315 0.034622 0.035575 0.013433 0.003224 0.014488 0.065826 0.143147 0.136209 0.066302 0.020816 0.032635 0.140139 0.285201 0.283239 0.140195 0.037535 0.034677 0.142002 0.286105 0.280416 0.143352 0.033561 0.021532 0.067339 0.137310 0.139848 0.067437 0.013108 0.000213 0.015908 0.037518 0.031108 0.019915 0.002806 0.005634 -0.000354 0.005111 0.007989 -0.000861 0.002066 0.000898 0.010058 0.026230 0.032649 0.015423 0.007940 0.011727 0.027799 0.061665 0.060964 0.029938 0.007946 0.004793 0.029184 0.055048 0.057858 0.033399 0.005721 -0.001290 0.011605 0.029507 0.029401 0.010926 0.004721 0.002785 0.006041 0.008074 0.005345 0.003577 0.004478   # volume 9
