12 78
0 0 50
0 1 64
0 2 26
0 3 29
0 4 6
0 5 3
0 6 2
0 7 1
0 8 1
0 9 2
0 10 1
0 11 1
1 1 128
1 2 51
1 3 61
1 4 11
1 5 6
1 6 5
1 7 4
1 8 1
1 9 2
1 10 2
1 11 2
2 2 32
2 3 38
2 4 7
2 5 4
2 6 4
2 7 3
2 8 1
2 9 1
2 10 1
2 11 1
3 3 72
3 4 12
3 5 6
3 6 7
3 7 6
3 8 3
3 9 4
3 10 1
3 11 1
4 4 98
4 5 50
4 6 49
4 7 44
4 8 4
4 9 6
4 10 3
4 11 2
5 5 40
5 6 40
5 7 37
5 8 3
5 9 5
5 10 3
5 11 2
6 6 61
6 7 57
6 8 5
6 9 8
6 10 4
6 11 4
7 7 84
7 8 6
7 9 12
7 10 6
7 11 6
8 8 24
8 9 42
8 10 22
8 11 20
9 9 112
9 10 60
9 11 58
10 10 50
10 11 48
11 11 72
