5.6 -- GPU Boltzmann Transport (Deterministic Dose)
S_8 discrete ordinates, 24 cells over 6.000 cm (h=0.2500 cm), tol=1.0e-10
source iterations: CPU=66 GPU=66
  cell        x_cm         scalar_flux         dose_proxy
     0       0.1250         4.070628e-01       8.141256e-02
     1       0.3750         6.684332e-01       1.336866e-01
     2       0.6250         9.340235e-01       1.868047e-01
     3       0.8750         9.518772e-01       1.903754e-01
     4       1.1250         7.252298e-01       1.450460e-01
     5       1.3750         5.173687e-01       1.034737e-01
     6       1.6250         4.005305e-01       8.010610e-02
     7       1.8750         3.188205e-01       6.376409e-02
     8       2.1250         2.772916e-01       1.386458e-02
     9       2.3750         2.653926e-01       1.326963e-02
    10       2.6250         2.542267e-01       1.271133e-02
    11       2.8750         2.437360e-01       1.218680e-02
    12       3.1250         2.338741e-01       1.169371e-02
    13       3.3750         2.246043e-01       1.123021e-02
    14       3.6250         2.158986e-01       1.079493e-02
    15       3.8750         2.077378e-01       1.038689e-02
    16       4.1250         1.860932e-01       3.721863e-02
    17       4.3750         1.533657e-01       3.067315e-02
    18       4.6250         1.257051e-01       2.514103e-02
    19       4.8750         1.024158e-01       2.048315e-02
    20       5.1250         8.266511e-02       1.653302e-02
    21       5.3750         6.564938e-02       1.312988e-02
    22       5.6250         5.049234e-02       1.009847e-02
    23       5.8750         3.576380e-02       7.152760e-03
peak scalar flux = 9.518772e-01 at cell 3 (x=0.8750 cm)
RESULT: PASS (GPU flux matches CPU within tol=1.0e-11)
